"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"Olive nere denocciolate ( Aceitunas negras sin millas ) 5 kg","Olive nere denocciolate ( Aceitunas negras sin millas )","5 kg","","","VIANDER","aceitunas","extracted_images/fotos viander_0.png"
"Preparado de Tiramisu 4 X 270 GR X 6","Preparado de Tiramisu X 6","270 GR","270","","VIANDER","preparados para postre","FALSE"
"Preparado de Panna Cotta 4 X 270 GR X 6","Preparado de Panna Cotta X 6","270 GR","270","","VIANDER","preparados para postre","FALSE"
"Preparado de Mousse de chocolate 4 X 270 GR X 6","Preparado de Mousse de chocolate X 6","270 GR","270","","VIANDER","preparados para postre","FALSE"
"Funghi fantasia di bosco 1000 gr x 24","Funghi fantasia di bosco","1000 gr","24","","VIANDER","hongos especialidad","FALSE"
"Viander Crema de pistacho 500 gr x 6","Viander Crema de pistacho","500 gr","6","","VIANDER","salsa pesto pistacho","FALSE"
"Viander Ndjua 300 gr x 12","Viander Ndjua","300 gr","12","","VIANDER","salsa de Ndjua","FALSE"
"Alcachofas para pizza al natural 3kg x 6","Alcachofas para pizza al natural","3kg","6","","VIANDER","Alcachofas","FALSE"
"Alcachofas a la Romana con Gambo 750 gr x 4 Bella Atmosfera","Alcachofas a la Romana con Gambo Bella Atmosfera","750 gr","4","","VIANDER","Alcachofas","FALSE"
"Hongos porcini guarniture trifolato 950 gr x 8 Bella Armosfera","Hongos porcini guarniture trifolato Bella Armosfera","950 gr","8","","VIANDER","Hongos especialidad","FALSE"
"Azafran 0.125 x 100","Azafran 0.125","","100","","VIANDER","azafran","FALSE"
"Nero di Sepia 500 gr x 8","Nero di Sepia","500 gr","8","","VIANDER","Tinta de calamar","FALSE"
"Loacker Classic 45g x25x12 Napolitaner","Loacker Classic x12 Napolitaner","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_8.jpeg"
"Loacker Classic 45g x25x12 Vanille","Loacker Classic x12 Vanille","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_0.png"
"Loacker Classic 45g x25x12 Cremkakao","Loacker Classic x12 Cremkakao","45g","25","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 45g x25x12 Milk","Loacker Classic x12 Milk","45g","25","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 45g x25x12 Coconut","Loacker Classic x12 Coconut","45g","25","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 175g x18 Napolitaner","Loacker Classic Napolitaner","175g","18","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 175g x18 Vanille","Loacker Classic Vanille","175g","18","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 175g x18 Cremkakao","Loacker Classic Cremkakao","175g","18","","LOACKER SPA","galletas","FALSE"
"Loacker Classic 175g x18 Milk","Loacker Classic Milk","175g","18","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 110g x12 Tiramisù","Loacker Quadratini Tiramisù","110g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Napolitaner","Loacker Quadratini Napolitaner","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Kakao","Loacker Quadratini Kakao","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Cocoa and Milkk","Loacker Quadratini Cocoa and Milkk","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Double chocolate","Loacker Quadratini Double chocolate","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Vanilla","Loacker Quadratini Vanilla","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Coconut","Loacker Quadratini Coconut","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Lemon","Loacker Quadratini Lemon","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Quadratini 125g x12 Dark Chocolate","Loacker Quadratini Dark Chocolate","125g","12","","LOACKER SPA","galletas","FALSE"
"Loacker Mini 150g x 7 Napolitaner","Loacker Mini Napolitaner","150g","7","","LOACKER SPA","galletas","FALSE"
"Loacker Mini 150g x 7 Vainilla","Loacker Mini Vainilla","150g","7","","LOACKER SPA","galletas","FALSE"
"Loacker Mini 150g x 7 Mix","Loacker Mini Mix","150g","7","","LOACKER SPA","galletas","FALSE"
"Gran Pasticceria Tortina Mini 90g x14 Original","Gran Pasticceria Tortina Mini Original","90g","14","","LOACKER SPA","galletas","FALSE"
"Gran Pasticceria 100g x18 Coconut","Gran Pasticceria Coconut","100g","18","","LOACKER SPA","galletas","FALSE"
"Gran Pasticceria 100g x18 Creme Noisette","Gran Pasticceria Creme Noisette","100g","18","","LOACKER SPA","galletas","FALSE"
"Gran Pasticceria 100g x18 Cappuccino","Gran Pasticceria Cappuccino","100g","18","","LOACKER SPA","galletas","FALSE"
"LOACKER LESS SUGAR HAZELNUT 175 GR X 18","LOACKER LESS SUGAR HAZELNUT","175 GR","18","","LOACKER SPA","galletas","FALSE"
"LOACKER LESS SUGAR CHOCOLATE 175 GR X 18","LOACKER LESS SUGAR CHOCOLATE","175 GR","18","","LOACKER SPA","galletas","FALSE"
"QUADRATINI LESS SUGAR CHOCOLATE 110 GR X 12","QUADRATINI LESS SUGAR CHOCOLATE","110 GR","12","","LOACKER SPA","galletas","FALSE"
"QUADRATINI LESS SUGAR HAZELNUT 110 GR X 12","QUADRATINI LESS SUGAR HAZELNUT","110 GR","12","","LOACKER SPA","galletas","FALSE"
"TOMATES PELADOS VALLE DEL SOL 2550 gr x 6","TOMATES PELADOS VALLE DEL SOL","2550 gr","6","","VALLE DEL SOL","Tomates pelados Italianos","extracted_images/tomates pelados valle del sol_0.jpeg"
"TOMATES PELADO LA TORRENTE","TOMATES PELADO LA TORRENTE","","","","LA TORRENTE","Tomates pelados Italianos","extracted_images/tomates pelados la torrente_0.png"
"GR PASSATA DI POMODORO 690 GR X 12","GR PASSATA DI POMODORO","690 GR","12","","Pastificio Attilio Mastromauro srl","Salsa passata di pomodorp","extracted_images/tomates pelados y passata granoro_0.jpeg"
"GR TOMATES PELADOS 400 GR X 24","GR TOMATES PELADOS","400 GR","24","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos","extracted_images/tomates pelados la torrente_0.png"
"GR TOMATES PELADOS 800 GR X 12","GR TOMATES PELADOS","800 GR","12","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos","extracted_images/tomates pelados la torrente_0.png"
"CROISSANT CACAO 6pcs X 12","CROISSANT CACAO 6pcs","","12","","BAULI","croissant","FALSE"
"CROISSANT CREMA 6pcs X 12","CROISSANT CREMA 6pcs","","12","","BAULI","croissant","FALSE"
"CROISSANT ALBICOCCA 6pcs X 12","CROISSANT ALBICOCCA 6pcs","","12","","BAULI","croissant","FALSE"
"CROISSANT CILIEGIA 6pcs 12","CROISSANT CILIEGIA 6pcs 12","","","","BAULI","croissant","FALSE"
"GRANORO FARINA 00 1 KG X 10","GRANORO FARINA 00","1 KG","10","","Pastificio Attilio Mastromauro srl","harinas","FALSE"
"GRANORO FARINA 0 PER PIZZA 1 KG X 10","GRANORO FARINA 0 PER PIZZA","1 KG","10","","Pastificio Attilio Mastromauro srl","harinas","FALSE"
"GRANORO SEMOLA DE GRANO DURO 500 GR X10","GRANORO SEMOLA DE GRANO DURO","500 GR","10","","Pastificio Attilio Mastromauro srl","harinas","extracted_images/harina y semola granoro_0.jpeg"
